Number,Counts,,,
1,253,,,
2,258,,,
3,294,,,
4,276,,,
5,281,,,
6,335,,,
7,353,,,
8,356,,,
9,335,,,
10,314,,,
11,380,,,
12,403,,,
13,400,,,
14,402,,,
15,390,,,
16,499,,,
17,522,,,
18,509,,,
19,525,,,
20,493,,,
21,672,,,
22,669,,,
23,649,,,
24,624,,,
25,657,,,
26,877,,,
27,842,,,
28,870,,,
29,873,,,
30,911,,,
31,1267,,,
32,1168,,,
33,1220,,,
34,1167,,,
35,1203,,,
36,1792,,,
37,1789,,,
38,1792,,,
39,1777,,,
40,1831,,,
41,2749,,,
42,2844,,,
43,2825,,,
44,2806,,,
45,2801,,,
46,4619,,,
47,4624,,,
48,4738,,,
49,4797,,,
50,4715,,,
,,,,
